==============================================================================================================
FULL MATRIX -- pure temperature, pooled over quant + reps
==============================================================================================================
model                      task      sampler      T        n    acc  strict   flex  failed    cap acc|strict acc|parsed
-----------------------------------------------------------------------------------------------------------------------
gemma-3-12b-it             gsm8k     temperature  0.7    600  91.0%   98.0%   2.0%    0.0%   2.0%      92.3%      91.0%
gemma-3-12b-it             gsm8k     temperature  1.0    600  90.2%   96.8%   3.2%    0.0%   3.3%      93.1%      90.2%
gemma-3-12b-it             gsm8k     temperature  1.3    600  89.0%   94.5%   5.5%    0.0%   5.3%      93.8%      89.0%
gemma-3-12b-it             mmlu_pro  temperature  0.7    600  63.7%   90.3%   0.7%    9.0%   9.8%      70.5%      70.0%
gemma-3-12b-it             mmlu_pro  temperature  1.0    600  66.7%   89.7%   2.2%    8.2%  10.3%      74.3%      72.6%
gemma-3-12b-it             mmlu_pro  temperature  1.3    600  60.0%   82.8%   2.7%   14.5%  17.2%      72.2%      70.2%
llama-3.1-8b-instruct      gsm8k     temperature  0.7    600  78.2%   93.0%   7.0%    0.0%   5.2%      83.0%      78.2%
llama-3.1-8b-instruct      gsm8k     temperature  1.0    600  74.8%   84.7%  15.3%    0.0%   7.8%      86.4%      74.8%
llama-3.1-8b-instruct      gsm8k     temperature  1.3    600  44.2%   43.8%  55.7%    0.5%  53.8%      97.3%      44.4%
llama-3.1-8b-instruct      mmlu_pro  temperature  0.7    600  47.8%   82.3%   2.3%   15.3%  11.0%      58.1%      56.5%
llama-3.1-8b-instruct      mmlu_pro  temperature  1.0    600  39.7%   64.8%   6.2%   29.0%  23.7%      60.2%      55.9%
llama-3.1-8b-instruct      mmlu_pro  temperature  1.3    600   7.0%    8.7%   6.8%   84.5%  89.2%      76.9%      45.2%
mistral-7b-instruct-v0.3   gsm8k     temperature  0.7    600  32.7%   72.2%  27.5%    0.3%   3.5%      34.2%      32.8%
mistral-7b-instruct-v0.3   gsm8k     temperature  1.0    600  30.0%   67.7%  32.3%    0.0%   4.3%      32.8%      30.0%
mistral-7b-instruct-v0.3   gsm8k     temperature  1.3    600  29.2%   62.8%  37.2%    0.0%   8.3%      29.2%      29.2%
mistral-7b-instruct-v0.3   mmlu_pro  temperature  0.7    600  30.5%   84.0%   3.2%   12.8%   1.0%      35.7%      35.0%
mistral-7b-instruct-v0.3   mmlu_pro  temperature  1.0    600  30.2%   80.8%   2.2%   17.0%   1.0%      37.1%      36.3%
mistral-7b-instruct-v0.3   mmlu_pro  temperature  1.3    600  22.5%   73.5%   5.3%   21.2%  12.5%      29.9%      28.5%
qwen2.5-7b-instruct        gsm8k     temperature  0.7    600  91.5%   98.3%   1.7%    0.0%   0.2%      92.5%      91.5%
qwen2.5-7b-instruct        gsm8k     temperature  1.0    600  91.7%   95.7%   4.3%    0.0%   0.5%      92.7%      91.7%
